epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,10690.9,1.19285,2.08325,0.89864,1.25366,0.84728,0.92866,0.93214,0.82673,0.87442,0.90909,0.93287,0.83578,0.51437,0.85962,0.51075,0.93879,0.0016304,0.0016304,0.0016304
30,11061.8,1.21365,2.11755,0.89485,1.25718,0.82891,0.94383,0.92262,0.81815,0.84023,0.9334,0.92323,0.81224,0.51299,0.84708,0.51743,0.94335,0.0016172,0.0016172,0.0016172
31,11420.9,1.20697,2.08653,0.89126,1.25134,0.88437,0.88023,0.9129,0.80054,0.8841,0.88456,0.91135,0.77223,0.53249,0.92603,0.54828,0.94471,0.001604,0.001604,0.001604
32,11782.3,1.1936,2.10901,0.88842,1.25069,0.85847,0.90909,0.91906,0.81075,0.8674,0.91486,0.92092,0.7927,0.50285,0.85198,0.54469,0.93903,0.0015908,0.0015908,0.0015908
33,12146.7,1.20409,2.09571,0.8998,1.24919,0.84264,0.92929,0.91734,0.80898,0.84637,0.92213,0.91571,0.7986,0.51876,0.8527,0.5523,0.93909,0.0015776,0.0015776,0.0015776
34,12512.8,1.16479,2.0488,0.85706,1.23356,0.85978,0.91631,0.93036,0.82786,0.86056,0.91486,0.92764,0.81741,0.4976,0.82934,0.52589,0.9447,0.0015644,0.0015644,0.0015644
35,12876.8,1.16809,2.0308,0.87705,1.23566,0.86877,0.9171,0.92499,0.82683,0.87211,0.91919,0.92537,0.82067,0.49145,0.83371,0.50292,0.93645,0.0015512,0.0015512,0.0015512
36,13258.6,1.17417,2.05267,0.8618,1.23968,0.8613,0.92297,0.92452,0.8183,0.85833,0.92785,0.92615,0.82027,0.49131,0.82807,0.53107,0.92596,0.001538,0.001538,0.001538
37,13661.9,1.15843,2.02666,0.83996,1.22751,0.84854,0.92969,0.93558,0.82487,0.85681,0.92352,0.9347,0.82466,0.53782,0.88105,0.51986,0.94296,0.0015248,0.0015248,0.0015248
38,14042.8,1.13691,1.97931,0.8258,1.22685,0.86937,0.89899,0.92578,0.82917,0.87584,0.90476,0.92794,0.80727,0.5117,0.83864,0.51909,0.9339,0.0015116,0.0015116,0.0015116
39,14431.7,1.1368,1.99411,0.81563,1.20555,0.83603,0.91971,0.92897,0.82968,0.86302,0.90007,0.92701,0.81755,0.50319,0.84778,0.50885,0.93851,0.0014984,0.0014984,0.0014984
40,14815.6,1.1426,2.02216,0.84577,1.22638,0.84379,0.93532,0.92315,0.82444,0.8582,0.92208,0.92191,0.79784,0.51044,0.86497,0.50942,0.95046,0.0014852,0.0014852,0.0014852
41,15195,1.15305,2.05207,0.84297,1.22227,0.84793,0.90917,0.92627,0.825,0.85344,0.91593,0.92626,0.80874,0.49277,0.81258,0.52295,0.93599,0.001472,0.001472,0.001472
42,15585.5,1.11979,1.95163,0.80714,1.19957,0.86472,0.90188,0.92765,0.84085,0.86887,0.9062,0.92939,0.82514,0.47272,0.79201,0.4931,0.92583,0.0014588,0.0014588,0.0014588
43,15976.2,1.12451,1.94356,0.8101,1.20616,0.8635,0.91053,0.93308,0.82794,0.86935,0.90909,0.9317,0.81269,0.50533,0.84235,0.50544,0.94034,0.0014456,0.0014456,0.0014456
44,16344.4,1.11684,1.97119,0.81387,1.20377,0.8209,0.92597,0.89774,0.79255,0.82656,0.92785,0.89768,0.78128,0.50686,0.81422,0.58646,0.92749,0.0014324,0.0014324,0.0014324
45,16711,1.11214,1.99077,0.8192,1.18489,0.84659,0.93173,0.92908,0.83851,0.84588,0.92496,0.93204,0.83466,0.47861,0.81085,0.48959,0.9256,0.0014192,0.0014192,0.0014192
46,17080.2,1.0941,1.93108,0.7779,1.19232,0.85373,0.93218,0.92535,0.83208,0.85633,0.92785,0.92235,0.82097,0.46956,0.80491,0.48492,0.91572,0.001406,0.001406,0.001406
47,17446,1.09108,1.93845,0.78928,1.18276,0.85179,0.94228,0.92771,0.83828,0.85536,0.94517,0.92903,0.84156,0.47414,0.76853,0.47929,0.91528,0.0013928,0.0013928,0.0013928
48,17811.4,1.08206,1.91381,0.77813,1.17747,0.87544,0.91631,0.9202,0.83675,0.87695,0.9062,0.9175,0.81951,0.45495,0.81021,0.48584,0.91523,0.0013796,0.0013796,0.0013796
49,18181.5,1.07468,1.882,0.77457,1.18195,0.85958,0.91867,0.92034,0.82708,0.876,0.90476,0.92196,0.799,0.46613,0.79496,0.50174,0.90695,0.0013664,0.0013664,0.0013664
50,18555.9,1.07412,1.87856,0.77924,1.17433,0.8522,0.93506,0.93102,0.84598,0.8589,0.92229,0.9291,0.83448,0.43987,0.78923,0.46794,0.90848,0.0013532,0.0013532,0.0013532
51,18929.8,1.07073,1.89135,0.78121,1.17086,0.85746,0.92882,0.92659,0.83515,0.8602,0.92929,0.92214,0.82864,0.4669,0.82585,0.48338,0.9246,0.00134,0.00134,0.00134
52,19298.8,1.09106,1.91939,0.76901,1.18182,0.8753,0.92785,0.93291,0.84587,0.87299,0.92239,0.93018,0.81497,0.45848,0.81149,0.46838,0.91039,0.0013268,0.0013268,0.0013268
53,19670.3,1.08882,1.91629,0.77177,1.17887,0.8759,0.90644,0.92522,0.83983,0.87804,0.9142,0.92616,0.82488,0.44998,0.8157,0.48728,0.90265,0.0013136,0.0013136,0.0013136
54,20041.5,1.04172,1.85757,0.74015,1.14691,0.87195,0.92361,0.92974,0.84831,0.87977,0.92916,0.93188,0.82781,0.44626,0.81791,0.4655,0.90347,0.0013004,0.0013004,0.0013004
55,20402.6,1.06556,1.88652,0.76395,1.16997,0.8806,0.90458,0.92946,0.84339,0.88369,0.90997,0.93189,0.82376,0.44843,0.81289,0.48661,0.90181,0.0012872,0.0012872,0.0012872
56,20769,1.03529,1.84156,0.73873,1.15632,0.86891,0.90861,0.93223,0.84926,0.88165,0.90295,0.93237,0.83184,0.43922,0.78561,0.46585,0.90062,0.001274,0.001274,0.001274
57,21135.5,1.03948,1.83649,0.74584,1.14931,0.87036,0.89899,0.92622,0.84247,0.87455,0.90332,0.92713,0.81978,0.45114,0.80872,0.48205,0.90148,0.0012608,0.0012608,0.0012608
58,21503.8,1.02788,1.80591,0.74461,1.14591,0.86578,0.92208,0.92508,0.84998,0.86578,0.92208,0.92389,0.82318,0.43288,0.80589,0.45945,0.89729,0.0012476,0.0012476,0.0012476
59,21885.1,1.04488,1.83824,0.7752,1.14846,0.84759,0.93892,0.92036,0.84446,0.85005,0.94075,0.92103,0.82374,0.44132,0.77965,0.46436,0.90584,0.0012344,0.0012344,0.0012344
60,22254.8,1.03306,1.81655,0.73879,1.14852,0.86889,0.90332,0.92285,0.84459,0.87188,0.91631,0.9251,0.83474,0.44268,0.7986,0.46883,0.91454,0.0012212,0.0012212,0.0012212
61,22624.4,1.04233,1.84064,0.71217,1.14978,0.87817,0.90765,0.9237,0.84385,0.88256,0.91087,0.92516,0.81793,0.43276,0.77681,0.46786,0.90131,0.001208,0.001208,0.001208
62,22993.5,1.03064,1.81385,0.72124,1.14631,0.879,0.89099,0.92966,0.84764,0.88466,0.8961,0.92787,0.82,0.44738,0.76677,0.46804,0.90222,0.0011948,0.0011948,0.0011948
63,23357.9,1.03755,1.81231,0.72725,1.15536,0.86771,0.89914,0.91963,0.8322,0.87122,0.90188,0.9179,0.81678,0.46285,0.77421,0.46511,0.9033,0.0011816,0.0011816,0.0011816
64,23724.5,0.99621,1.7811,0.70255,1.12312,0.87774,0.89322,0.91899,0.83599,0.882,0.89755,0.91908,0.82107,0.45074,0.82409,0.47535,0.90937,0.0011684,0.0011684,0.0011684
65,24093,1.02122,1.79362,0.71654,1.13365,0.85819,0.90816,0.91751,0.83004,0.86364,0.91393,0.91953,0.80746,0.45296,0.79465,0.48674,0.89732,0.0011552,0.0011552,0.0011552
66,24466.2,0.98536,1.71394,0.7145,1.11772,0.87463,0.92614,0.92662,0.84973,0.87896,0.92929,0.92892,0.81877,0.42891,0.81294,0.45569,0.90013,0.001142,0.001142,0.001142
67,24832.2,0.99971,1.76048,0.69293,1.13496,0.87852,0.91053,0.92678,0.84784,0.88409,0.91631,0.92805,0.81954,0.43289,0.78557,0.45118,0.9068,0.0011288,0.0011288,0.0011288
68,25200,0.99341,1.75308,0.69632,1.12271,0.86305,0.92753,0.93814,0.86078,0.86707,0.93186,0.94024,0.84199,0.42211,0.78318,0.44344,0.90112,0.0011156,0.0011156,0.0011156
69,356.699,1.00882,1.75403,0.71927,1.14179,0.86015,0.93939,0.93581,0.84858,0.87747,0.91775,0.93709,0.82165,0.46545,0.80135,0.46329,0.9451,0.0011024,0.0011024,0.0011024
70,741.94,1.01388,1.74774,0.6847,1.14531,0.87572,0.91631,0.93152,0.85504,0.87847,0.91919,0.93138,0.82489,0.43004,0.76185,0.4477,0.9187,0.0010892,0.0010892,0.0010892
71,1126.12,1.00172,1.75533,0.68326,1.13948,0.85363,0.93414,0.92976,0.8496,0.86211,0.93826,0.93148,0.83778,0.44595,0.7611,0.45008,0.91345,0.001076,0.001076,0.001076
72,1507.91,0.97658,1.71379,0.66836,1.12083,0.85547,0.92496,0.93156,0.85756,0.85947,0.92929,0.93281,0.82763,0.4183,0.76051,0.45548,0.90609,0.0010628,0.0010628,0.0010628
73,1889.22,0.99716,1.71502,0.67834,1.13521,0.86907,0.90995,0.92522,0.85307,0.87321,0.91428,0.92482,0.82129,0.42714,0.76015,0.45517,0.90865,0.0010496,0.0010496,0.0010496
74,2272.44,0.98939,1.73176,0.67529,1.13463,0.90263,0.88023,0.93795,0.8599,0.90559,0.88312,0.93802,0.82173,0.42758,0.75704,0.45347,0.90568,0.0010364,0.0010364,0.0010364
75,2657.89,0.98559,1.71486,0.68742,1.12232,0.85857,0.93506,0.9281,0.84635,0.86542,0.92496,0.92709,0.81342,0.42817,0.76763,0.46575,0.89836,0.0010232,0.0010232,0.0010232
76,3063.71,0.97807,1.71111,0.67778,1.11693,0.85685,0.93287,0.92969,0.85204,0.8582,0.93651,0.93221,0.82475,0.43374,0.74173,0.44184,0.90654,0.00101,0.00101,0.00101
77,3436.48,0.97455,1.70902,0.747,1.11334,0.88086,0.89616,0.92434,0.84982,0.87275,0.90909,0.92743,0.83658,0.43054,0.74704,0.46124,0.90243,0.0009968,0.0009968,0.0009968
78,3815.6,0.96605,1.71396,0.68988,1.11127,0.8559,0.92929,0.92485,0.85119,0.85856,0.93218,0.92654,0.82225,0.42457,0.77024,0.44551,0.91295,0.0009836,0.0009836,0.0009836
79,4191.01,0.9801,1.70624,0.67481,1.11873,0.86506,0.91631,0.93324,0.85599,0.87549,0.91319,0.93495,0.82814,0.4206,0.76009,0.44602,0.89538,0.0009704,0.0009704,0.0009704
80,4573.62,0.95091,1.6759,0.6373,1.09661,0.85529,0.92964,0.91521,0.84167,0.85927,0.93397,0.91697,0.80761,0.41453,0.78087,0.44872,0.89735,0.0009572,0.0009572,0.0009572
81,4975.49,0.94264,1.6358,0.6349,1.09712,0.87743,0.90188,0.92195,0.84757,0.87526,0.91053,0.92252,0.81052,0.42708,0.75518,0.44261,0.90631,0.000944,0.000944,0.000944
82,5373.05,0.95121,1.66445,0.65159,1.10313,0.88366,0.9062,0.92919,0.85788,0.88616,0.90986,0.93385,0.84595,0.41317,0.76607,0.44487,0.89744,0.0009308,0.0009308,0.0009308
83,5734.48,0.94657,1.66789,0.63408,1.09557,0.86014,0.93218,0.93356,0.86049,0.87266,0.93074,0.93443,0.84187,0.42119,0.74584,0.44865,0.90428,0.0009176,0.0009176,0.0009176
84,6122.87,0.91696,1.61521,0.64512,1.08228,0.86735,0.92785,0.9315,0.86341,0.87067,0.92929,0.93449,0.83034,0.41278,0.74939,0.44536,0.89839,0.0009044,0.0009044,0.0009044
85,6511.8,0.94552,1.66125,0.6315,1.08664,0.86714,0.92208,0.93294,0.86768,0.87268,0.92641,0.93407,0.83258,0.40793,0.77697,0.43591,0.89084,0.0008912,0.0008912,0.0008912
86,6897.39,0.91479,1.61749,0.60705,1.08507,0.86243,0.91919,0.92733,0.85566,0.86552,0.9194,0.92751,0.82245,0.40982,0.76538,0.46102,0.89776,0.000878,0.000878,0.000878
87,7271.56,0.91869,1.62856,0.61176,1.08414,0.86613,0.9149,0.92229,0.85485,0.87159,0.92068,0.92531,0.83211,0.4083,0.73449,0.44389,0.89939,0.0008648,0.0008648,0.0008648
88,7643.1,0.91412,1.59836,0.65649,1.08394,0.88323,0.91053,0.93501,0.86559,0.88606,0.91486,0.93645,0.84189,0.41098,0.74657,0.43376,0.89206,0.0008516,0.0008516,0.0008516
89,8021.03,0.90375,1.60203,0.60115,1.08244,0.85286,0.92641,0.92296,0.85995,0.86972,0.91198,0.92418,0.82993,0.39801,0.75631,0.43118,0.88436,0.0008384,0.0008384,0.0008384
90,8409.97,0.92124,1.60267,0.59995,1.08393,0.88595,0.91198,0.92905,0.86421,0.88918,0.91471,0.92859,0.82248,0.39536,0.77451,0.43797,0.88566,0.0008252,0.0008252,0.0008252
91,8796.08,0.90451,1.57718,0.58777,1.08117,0.88413,0.91384,0.92473,0.86156,0.88816,0.91919,0.92652,0.84409,0.39191,0.75986,0.4392,0.88575,0.000812,0.000812,0.000812
